80,-350,-391,-371,-334,-228,-86,95,281,484,654,777,866,903,886,805,676,545,400,268,136,46,-29,-77,-96,-92,-56,-57,18,39,96,158,152,152,157,94,59,-58,-134,-212,-317,-382,-460,-534,-551,-575,-570,-527,-503,-408,-375,-285,-241,-168,-84,24,65,122,144,141,131,92,35,-17,-96,-192,-304,-422,-500,-570,-593,-548,-436,-298,-84,179,468,747,983,1196,1325,1358,1292,1153,929,678,384,123,-111,-278,-398,-456,-458,-431,-317,-208,-71,101,186,332,407,7614.47,5605.3,4267.9,3410.22,2852.04,2472.44,2122.68,-1603.16,-2922.54,-3367.59,-3528.11,-3585.79,-3615.32,-3646.77,-3689.24,-3743.11,-3805.97,-3874.44,-3946.06,-4019.92,-4125.35,-4456.42,-4625.14,-4678.29,-4754.09,-4815.72,-4707.76,-4617.21,-5074.66,-5346.35,-5551.79,-5689.92,-5767.53,-5802.84,-5808.61,-5835.05,-5926.45,-5741.13,-5474.42,-5294.59,-5163.58,-5062.59,-4982.06,-4918.61,-4873.58,-4844.31,-4828.82,-4825.87,-4832.67,-4850.9,-4877.91,-4916.81,-4965.42,-5023.42,-4967.48,-5422.11,-5594.43,-5723.76,-5809.11,-5872.57,-5928.05,-6011.51,-6309.35,-6480.74,-6172.67,-5921.95,-5745.9,-5599.71,-5474.29,-5367.87,-5281.69,-5216.73,-5174.51,-5159.02,-5090.05,-4959.26,-4589.0,-4271.96,-4024.86,-3834.57,-3689.65,-3580.51,-3499.78,-3442.25,-3405.63,-3389.61,-3397.19,-3476.32,-3653.41,-3800.68,-3914.47,-3999.46,-4070.75,-4139.43,-4222.77,-4331.42,-4306.63,-4292.74,-4198.83
1543,-460,-268,-453,164,880,1593,1259,249,28,-2,-50,-1089,-1424,-676,134,-854,-883,-20,705,-434,-844,-238,-116,-570,-824,-222,-696,-577,-668,-486,315,175,546,901,1641,1569,1290,1107,308,496,-512,-893,-1109,-482,-91,-716,38,843,1560,269,318,670,1259,798,-1494,-396,510,-629,-2321,-810,-119,-850,-401,-157,789,948,576,563,914,571,-488,15,-565,-1518,-758,-654,-1757,-840,757,563,356,1523,1869,1235,697,397,202,-946,-1729,-1357,-1117,-1600,-1082,274,711,494,1336,1717,1652,1062,14522.25,10127.5,7339.7,5626.04,-2663.21,-5251.8,-6273.27,-6698.81,-7002.66,-8271.13,-10312.22,-11544.2,-11389.18,-11356.51,-11504.74,-11896.74,-11487.96,-11025.17,-11393.96,-10910.73,-9994.33,-9490.92,-9392.44,-9589.58,-9754.05,-9911.17,-10167.4,-10368.53,-10543.44,-10690.22,-10831.67,-10514.92,-10289.6,-10054.45,-9866.57,-9706.8,-9582.86,-9496.36,-9443.06,-9482.79,-9535.06,-9355.83,-9080.53,-8836.71,-8760.73,-8971.06,-9190.92,-10272.12,-10449.21,-10563.64,-10755.23,-10954.71,-11109.85,-11212.89,-11305.84,-10422.76,-9964.81,-9674.92,-9412.93,-9129.91,-8971.22,-9184.53,-9354.8,-9574.08,-9923.18,-9634.88,-9401.08,-9273.35,-9216.84,-9176.35,-9186.13,-9109.07,-10294.78,-10962.07,-11324.76,-11655.83,-11950.4,-12173.76,-12360.68,-11604.14,-11037.5,-10673.4,-10366.78,-10122.01,-9945.55,-9848.98,-9830.96,-9896.64,-9593.6,-9214.75,-8986.28,-8848.56,-8757.95,-8700.3,-8792.46,-8874.02,-8980.81,-9037.68,-9065.96
2251,483,261,84,30,-18,-14,20,41,-5,-123,-337,-635,-1059,-1376,-1745,-2253,-2752,-3134,-3361,-3494,-3402,-3038,-2530,-2003,-1272,-537,149,885,1486,1930,2389,2580,2513,2345,2178,1900,1589,1240,852,584,351,183,190,233,275,370,466,506,633,673,597,504,259,-62,-359,-637,-985,-1252,-1377,-1514,-1525,-1261,-911,-600,-186,332,623,879,1182,1268,1345,1407,1384,1291,1164,968,764,516,295,226,232,75,-21,-73,-59,-30,-71,-128,-350,-904,-1565,-2135,-2574,-2884,-2947,-2752,-2523,-2259,-1785,-1201,19979.84,10457.33,5816.64,2616.64,-788.26,-6125.06,-9768.63,-12304.7,-13212.49,-15692.22,-15904.46,-15659.6,-15286.31,-14811.71,-14429.17,-14209.53,-14122.09,-14107.4,-14124.41,-14153.4,-14185.3,-14215.72,-14242.52,-14264.77,-14282.25,-14295.73,-14339.23,-15874.77,-15371.97,-14723.91,-14147.63,-13687.75,-13340.82,-13089.48,-12914.54,-12798.96,-12731.03,-12704.22,-12719.45,-12790.16,-12922.04,-13120.6,-13413.63,-13731.04,-14019.21,-14264.57,-14459.01,-14607.31,-14720.43,-14800.16,-14855.62,-14898.03,-14934.13,-14984.46,-14754.85,-14725.5,-14600.95,-14376.88,-14191.51,-14112.82,-14115.28,-14163.94,-14233.16,-14312.35,-14415.77,-14712.9,-14500.32,-14065.41,-13720.62,-13453.89,-13259.0,-13121.02,-13025.72,-12964.62,-12932.97,-12928.29,-12954.06,-13015.12,-13124.06,-13290.73,-13497.4,-13709.03,-14322.03,-15218.84,-15235.38,-15039.3,-15049.7,-14921.16,-15212.31,-15477.08,-15564.83,-15515.96,-15489.46,-15506.67,-15532.74,-15551.8,-15561.08,-15561.7,-15555.52
2079,3161,2422,1316,134,-624,-1875,-3012,-3847,-4182,-4396,-4468,-3889,-2411,-1321,-338,1162,2274,2530,2572,2977,2616,1787,1355,930,-26,-833,-1204,-1312,-1557,-1569,-670,-103,116,692,1335,1240,925,849,591,-176,-729,-1036,-1774,-2545,-2705,-2795,-2775,-2180,-1338,-280,767,1677,2612,3336,3454,3513,3692,3054,2320,1644,861,26,-554,-1015,-1357,-1528,-1679,-1469,-1091,-600,-129,680,1456,1624,1788,1922,1611,872,412,-412,-1291,-2090,-2589,-3005,-3274,-3160,-2525,-1958,-1499,-505,308,814,1178,1338,1190,1072,374,-253,-285,-653,26410.55,11129.25,4531.7,782.76,-2011.58,-10710.42,-12586.11,-13112.51,-13341.08,-13477.82,-13602.12,-13741.12,-13898.5,-14069.05,-14246.74,-14685.03,-14815.63,-14929.45,-15040.19,-15150.42,-15256.79,-15360.9,-15474.98,-15610.93,-15795.62,-17138.51,-17465.41,-17918.67,-18301.35,-18584.3,-18784.62,-18950.1,-19312.45,-19629.09,-19050.13,-18494.76,-18073.38,-17810.42,-17671.72,-17659.93,-17873.5,-17905.23,-17854.85,-17779.13,-17776.91,-17818.55,-17872.46,-17927.67,-17980.59,-18030.87,-18342.55,-17861.98,-17461.68,-17149.06,-16914.26,-16743.01,-16620.35,-16533.57,-16474.41,-16440.14,-16438.96,-16526.32,-19213.13,-20045.49,-20533.04,-20871.73,-21155.21,-21394.76,-21591.8,-21754.62,-21951.61,-22715.87,-21386.06,-20286.97,-19465.03,-18863.88,-18425.13,-18113.97,-17950.96,-17967.28,-17927.97,-17713.67,-17524.6,-17430.5,-17380.81,-17348.91,-17325.35,-17306.54,-17290.89,-17277.91,-17373.06,-17459.87,-17473.38,-17471.05,-17465.43,-17477.56,-17512.27,-17685.64,-17969.84
986,-766,-2155,-3535,-3881,-3696,-3473,-3439,-3253,-2478,-1260,187,1476,2607,3395,4136,4949,5321,4964,4014,2989,1981,923,-211,-1570,-2911,-3695,-4084,-4064,-3835,-3691,-3385,-2431,-799,309,1158,2147,3099,4132,4727,4626,3969,3586,3100,2119,926,-352,-1356,-2071,-2564,-3054,-3402,-3414,-3103,-2318,-1608,-1092,-280,847,1800,2257,2498,2471,1877,1082,376,-560,-1708,-2800,-3502,-3555,-3664,-3798,-3630,-2874,-1713,-920,-132,1030,2252,2984,3431,4023,4261,3924,3333,2663,1922,989,9,-842,-1680,-2186,-2321,-2406,-2422,-2344,-1817,-947,-173,544,23195.52,15030.37,10365.93,6693.63,3769.85,1463.4,-368.88,-1842.17,-3041.57,-4028.88,-4849.47,-19533.97,-22433.6,-22775.42,-22265.09,-21542.52,-20859.62,-20304.54,-19892.78,-19609.55,-19431.27,-19341.95,-19385.3,-19860.75,-19981.18,-20086.56,-20225.52,-20354.3,-20461.56,-20546.66,-20611.65,-20659.02,-20691.2,-20732.11,-20597.64,-20315.62,-20056.06,-19834.15,-19650.09,-19498.03,-19371.25,-19264.34,-19173.12,-19095.15,-19036.26,-19068.69,-19220.56,-19123.49,-19030.63,-19003.79,-19004.53,-19012.7,-19021.75,-19029.72,-19036.06,-19040.97,-19048.98,-19422.45,-19157.01,-18929.22,-18747.98,-18608.53,-18504.62,-18439.95,-18456.24,-18679.3,-18689.03,-18458.57,-18313.71,-18252.98,-18226.43,-18215.21,-18211.93,-18213.1,-18216.79,-18222.0,-18241.14,-18970.58,-18785.27,-18584.27,-18412.97,-18279.04,-18177.75,-18102.14,-18045.92,-18004.55,-17976.58,-17969.12,-18041.13,-19975.33,-21644.09,-22807.76,-23715.98,-24424.74,-24963.27,-25368.08,-25672.43,-25902.82,-26090.95
1450,319,417,565,672,908,1153,1380,1207,1048,703,333,591,584,902,-292,-2214,-4612,-6973,-6391,-5751,-2545,-1242,647,677,1572,2947,4050,5412,4322,2830,-286,-1733,-2994,-2959,-2031,-1865,-1016,-852,749,1512,3087,3234,2529,1704,957,980,823,1638,1280,1347,1083,1397,1412,1810,1956,1279,904,143,-430,-1213,-1092,-1142,-848,-1219,-897,-3004,-5037,-5505,-6545,-7064,-4800,-3105,-2188,78,2318,2865,3534,4892,3543,2107,731,-208,-2407,-2642,-2215,-2183,-1216,711,1940,2570,3651,3751,2796,2562,2068,926,121,-74,-466,-344,40092.01,14420.63,4997.02,54.53,-3251.94,-5640.12,-7289.49,-8303.71,-8812.05,-8947.99,-8828.85,-8549.26,-8151.17,-7681.62,-7169.59,-19612.95,-21773.54,-22451.84,-22716.49,-22784.44,-22777.19,-22760.56,-22767.02,-22765.24,-22904.29,-23003.9,-23082.05,-23163.76,-23254.66,-23354.12,-23463.36,-23994.21,-24175.96,-24377.0,-24610.86,-24835.15,-25039.69,-25233.3,-25429.27,-25231.47,-25076.63,-24951.71,-24869.33,-24829.29,-24844.5,-24979.26,-25161.69,-25400.34,-25556.05,-25706.5,-25844.34,-26004.6,-26135.17,-26249.53,-26331.37,-26391.75,-26479.05,-26625.16,-27247.49,-27163.3,-26523.36,-26080.97,-25825.15,-25732.33,-25701.93,-25733.05,-25776.42,-25830.63,-25887.28,-25942.48,-25994.57,-26042.83,-26087.16,-26127.71,-27353.02,-27897.52,-28237.69,-28466.92,-28630.01,-28752.79,-28862.31,-29108.31,-29003.71,-28460.1,-28239.97,-28163.39,-28139.98,-28139.52,-27649.16,-27205.12,-26849.89,-26573.9,-26364.15,-26209.23,-26096.5,-26023.69,-26087.62,-26879.6,-27453.49
400,-301,-377,-457,-529,-595,-638,-642,-621,-529,-405,-228,-26,192,416,640,822,967,1065,1070,1029,919,757,555,318,70,-152,-338,-471,-534,-518,-422,-258,-69,144,349,529,664,755,758,679,539,329,63,-223,-473,-686,-837,-906,-916,-949,-1014,-1159,-1418,-1759,-2034,-2176,-2104,-1706,-951,23,1059,2073,2862,3279,3332,3079,2542,1842,1145,493,-107,-633,-1073,-1504,-1921,-2246,-2438,-2460,-2203,-1641,-820,148,1190,2155,2859,3249,3277,2959,2340,1576,706,-149,-907,-1509,-1994,-2327,-2478,-2493,-2417,-2122,20243.45,13718.96,9456.31,6792.08,5114.21,4018.09,3259.12,2696.74,2254.62,1892.43,1595.56,1371.09,2250.47,-9165.8,-12587.5,-13712.71,-13889.4,-13620.05,-13155.76,-12630.81,-12113.18,-11639.56,-11230.68,-10900.37,-10661.06,-10874.38,-10465.16,-10413.84,-10444.6,-10515.75,-10649.73,-10877.08,-11257.13,-11403.75,-11359.39,-10986.91,-10655.08,-10430.92,-10292.5,-10220.9,-10203.25,-10231.78,-10307.76,-10908.72,-11272.34,-11487.12,-11558.31,-11571.39,-11591.24,-11638.29,-11707.23,-11789.06,-11875.8,-11962.79,-12047.74,-12129.0,-12205.44,-12276.65,-12342.74,-12409.0,-14247.36,-14256.04,-14279.94,-14317.31,-14360.25,-14403.8,-14446.07,-14487.73,-14534.3,-14604.05,-14744.02,-14701.56,-14415.73,-14123.3,-13872.22,-13695.78,-13578.31,-13495.62,-13433.58,-13384.8,-13345.14,-13321.81,-13374.5,-13084.58,-12812.55,-12582.16,-12395.78,-12247.98,-12132.1,-12044.08,-11989.7,-12019.17,-12287.21,-12356.26,-12358.71,-12381.28,-12424.69,-12470.31,-12510.55
28,-2095,1362,5307,6015,7303,9515,10338,8669,7737,7330,4558,2478,86,-2982,-5097,-6307,-6595,-7237,-6412,-4326,-1865,1057,2756,5013,7739,9392,9326,7917,6564,6264,4237,121,-2888,-3652,-5033,-6874,-7805,-7649,-6190,-4621,-3379,-1825,581,3207,4525,5186,5649,6098,4997,2959,2034,828,-826,-1799,-2814,-3586,-2770,-2950,-3636,-2868,-4872,-8015,-7770,-8125,-7835,-8187,-6025,-2530,-1084,2182,4812,6471,8033,8630,10197,9050,7268,5769,4384,2661,-926,-3986,-5536,-6010,-6361,-6719,-5666,-3257,-919,2534,4114,5290,7806,9630,9520,6620,5520,4880,2815,485,66043.05,51446.15,11121.99,-4341.52,-10807.83,-13983.88,-16082.35,-17925.84,-19763.65,-21618.66,-23441.03,-25173.61,-26785.22,-29965.46,-29954.09,-30456.71,-31114.24,-31780.45,-32404.91,-32970.39,-33472.55,-33912.8,-34443.35,-34829.66,-35122.91,-35352.75,-35535.14,-35680.34,-35795.72,-35886.93,-35958.36,-36014.09,-37267.39,-36575.09,-36257.91,-36103.51,-36018.41,-35967.61,-35935.79,-35915.02,-35900.75,-35890.11,-35881.66,-36230.22,-36372.57,-36432.59,-36455.04,-36457.65,-36448.87,-36433.58,-36419.29,-36426.04,-36636.17,-36478.39,-36139.1,-35938.81,-35843.38,-35793.89,-35766.96,-35752.59,-35745.5,-35742.72,-35742.4,-35743.41,-35745.1,-35747.06,-35749.05,-35751.01,-35752.88,-35765.32,-35739.16,-35713.77,-35692.83,-35676.56,-35664.22,-35654.97,-35648.11,-35643.07,-35639.43,-35637.22,-35644.36,-35658.05,-35656.79,-35662.28,-35668.89,-35675.07,-35680.5,-35685.2,-35689.28,-35719.81,-35700.68,-35684.23,-35671.02,-35660.88,-35653.34,-35647.77,-35643.7,-35640.84,-35638.96
1796,8709,5954,3966,1504,-2627,-4532,-4401,-4897,-3349,-1096,7,1792,3539,2507,2149,2417,950,150,298,-515,295,2014,2341,2653,3634,2379,1052,287,-1167,-1977,-1588,-2099,-2060,-1192,-1274,-1877,-1214,-490,34,928,1649,2156,3284,3282,2284,1167,-184,-1241,-1709,-2515,-3066,-2248,-1110,-176,1071,1274,1658,451,-1829,-3902,-5753,-9057,-8983,-6339,-4090,777,5905,8071,8725,8707,5464,2097,-760,-4127,-5875,-4838,-3744,-2034,999,2695,3471,4188,3076,1369,549,-565,-1705,-1001,81,1539,3363,4562,4077,3284,1855,-606,-2224,-2976,-3229,-2512,61315.71,27433.55,12830.85,4543.29,-1083.94,-16484.42,-22426.81,-25095.16,-26427.57,-27213.58,-27798.78,-32433.67,-33479.05,-34558.8,-35546.54,-36390.49,-37082.73,-37754.94,-38860.33,-39882.84,-41061.62,-41233.89,-40758.41,-40143.04,-39566.16,-39081.6,-38705.68,-38515.34,-38716.29,-37370.34,-35997.82,-35269.64,-34880.1,-34677.12,-34582.73,-34550.17,-34551.32,-34576.9,-34882.95,-39905.98,-41402.63,-42497.61,-43328.43,-43963.88,-44460.11,-44864.59,-45279.29,-44423.45,-43223.97,-42265.46,-41633.71,-41226.09,-40941.45,-40737.5,-41512.76,-40228.63,-39241.42,-38473.11,-38262.54,-37343.02,-36700.92,-36305.27,-36034.59,-35838.62,-35692.5,-35581.58,-35744.29,-35780.2,-35775.15,-35756.36,-35733.31,-35709.83,-35710.19,-35648.43,-35477.39,-35412.26,-35386.5,-35377.59,-35377.18,-35486.2,-35523.21,-35533.65,-35534.6,-35536.0,-35618.77,-35999.0,-36130.38,-35923.89,-35854.99,-37591.8,-38552.67,-39157.22,-39564.63,-39851.95,-40062.95,-40251.08,-39139.32,-37953.2,-37258.35
1369,1427,1206,908,1378,2072,2155,1770,1145,1122,1068,617,-351,-616,-450,-460,-466,-720,-854,-1175,-1035,-1320,-2233,-3508,-3543,-2045,-1786,-2665,-3163,-1417,491,714,-468,-341,1486,2628,1966,428,229,1279,1572,383,-656,-247,749,1078,334,-157,552,1358,1188,373,77,160,297,-57,-634,-877,-688,-279,-114,-368,-529,-290,51,-208,-668,-677,-187,52,-325,-815,-889,-332,10,-316,-409,283,1031,1112,980,595,420,594,691,251,30,476,1107,1393,1350,1364,1184,821,321,-75,-392,-307,-63,202,382,19846.69,8129.67,2890.53,-115.89,-2118.72,-3525.14,-4469.59,-5036.35,-5313.43,-5381.29,-5307.29,-5145.46,-10839.07,-12517.98,-12954.06,-12982.78,-12920.17,-12804.06,-12702.01,-12629.79,-12613.59,-12633.54,-12678.36,-12741.15,-12813.19,-12889.15,-12965.97,-13041.65,-13115.04,-13185.88,-12968.68,-12818.08,-12711.34,-12801.87,-12621.93,-12496.75,-12420.58,-12515.91,-12746.91,-12876.78,-12958.29,-13128.32,-12976.1,-13142.04,-13062.1,-13027.41,-13135.59,-13501.2,-13486.94,-13424.99,-13388.8,-13465.97,-14044.28,-14572.81,-14979.12,-14822.98,-14699.87,-14567.02,-14527.03,-14701.92,-15034.49,-15352.52,-15633.04,-15937.38,-16837.85,-16841.24,-16767.18,-16719.04,-16874.36,-17517.18,-17313.34,-17091.91,-16917.66,-16919.28,-18234.98,-19266.39,-20103.44,-19221.03,-18040.81,-17090.56,-16366.32,-15870.62,-15560.6,-15338.99,-15173.3,-15127.65,-16715.73,-16924.16,-17059.81,-17143.14,-17190.78,-17212.09,-17218.76,-17226.56,-17264.2,-16924.99,-16481.78,-16274.49,-15881.74
